DATE,DGS3
2013-08-01,0.65
2013-08-02,0.59
2013-08-05,0.61
2013-08-06,0.62
2013-08-07,0.61
2013-08-08,0.61
2013-08-09,0.61
2013-08-12,0.62
2013-08-13,0.68
2013-08-14,0.67
2013-08-15,0.70
2013-08-16,0.73
2013-08-19,0.76
2013-08-20,0.73
2013-08-21,0.76
2013-08-22,0.82
2013-08-23,0.80
2013-08-26,0.79
2013-08-27,0.77
2013-08-28,0.79
2013-08-29,0.79
2013-08-30,0.79
2013-09-02,.
2013-09-03,0.83
2013-09-04,0.89
2013-09-05,0.97
2013-09-06,0.91
2013-09-09,0.87
2013-09-10,0.92
2013-09-11,0.88
2013-09-12,0.87
2013-09-13,0.87
2013-09-16,0.80
2013-09-17,0.78
2013-09-18,0.67
2013-09-19,0.69
2013-09-20,0.69
2013-09-23,0.68
2013-09-24,0.67
2013-09-25,0.66
2013-09-26,0.67
2013-09-27,0.64
2013-09-30,0.63
2013-10-01,0.66
2013-10-02,0.62
2013-10-03,0.61
2013-10-04,0.66
2013-10-07,0.66
2013-10-08,0.70
2013-10-09,0.68
2013-10-10,0.68
2013-10-11,0.66
2013-10-14,.
2013-10-15,0.68
2013-10-16,0.64
2013-10-17,0.61
2013-10-18,0.62
2013-10-21,0.63
2013-10-22,0.59
2013-10-23,0.60
2013-10-24,0.59
2013-10-25,0.59
2013-10-28,0.59
2013-10-29,0.59
2013-10-30,0.58
2013-10-31,0.57
2013-11-01,0.61
2013-11-04,0.60
2013-11-05,0.60
2013-11-06,0.58
2013-11-07,0.55
2013-11-08,0.62
2013-11-11,.
2013-11-12,0.65
2013-11-13,0.61
2013-11-14,0.56
2013-11-15,0.58
2013-11-18,0.56
2013-11-19,0.58
2013-11-20,0.57
2013-11-21,0.55
2013-11-22,0.57
2013-11-25,0.57
2013-11-26,0.55
2013-11-27,0.55
2013-11-28,.
2013-11-29,0.56
2013-12-02,0.59
2013-12-03,0.58
2013-12-04,0.60
2013-12-05,0.61
2013-12-06,0.64
2013-12-09,0.64
2013-12-10,0.62
2013-12-11,0.63
2013-12-12,0.67
2013-12-13,0.68
2013-12-16,0.68
2013-12-17,0.65
2013-12-18,0.64
2013-12-19,0.70
2013-12-20,0.74
2013-12-23,0.77
2013-12-24,0.80
2013-12-25,.
2013-12-26,0.81
2013-12-27,0.79
2013-12-30,0.77
2013-12-31,0.78
2014-01-01,.
2014-01-02,0.76
2014-01-03,0.80
2014-01-06,0.78
2014-01-07,0.80
2014-01-08,0.87
2014-01-09,0.86
2014-01-10,0.77
2014-01-13,0.74
2014-01-14,0.78
2014-01-15,0.81
2014-01-16,0.80
2014-01-17,0.79
2014-01-20,.
2014-01-21,0.81
2014-01-22,0.85
2014-01-23,0.77
2014-01-24,0.75
2014-01-27,0.76
2014-01-28,0.75
2014-01-29,0.71
2014-01-30,0.72
2014-01-31,0.69
2014-02-03,0.64
2014-02-04,0.65
2014-02-05,0.66
2014-02-06,0.69
2014-02-07,0.66
2014-02-10,0.66
2014-02-11,0.71
2014-02-12,0.74
2014-02-13,0.70
2014-02-14,0.71
2014-02-17,.
2014-02-18,0.67
2014-02-19,0.69
2014-02-20,0.72
2014-02-21,0.71
2014-02-24,0.72
2014-02-25,0.70
2014-02-26,0.68
2014-02-27,0.68
2014-02-28,0.69
2014-03-03,0.66
2014-03-04,0.71
2014-03-05,0.71
2014-03-06,0.73
2014-03-07,0.79
2014-03-10,0.79
2014-03-11,0.79
2014-03-12,0.78
2014-03-13,0.74
2014-03-14,0.74
2014-03-17,0.77
2014-03-18,0.75
2014-03-19,0.91
2014-03-20,0.90
2014-03-21,0.91
2014-03-24,0.93
2014-03-25,0.92
2014-03-26,0.89
2014-03-27,0.90
2014-03-28,0.93
2014-03-31,0.90
2014-04-01,0.91
2014-04-02,0.94
2014-04-03,0.95
2014-04-04,0.89
2014-04-07,0.87
2014-04-08,0.88
2014-04-09,0.85
2014-04-10,0.81
2014-04-11,0.80
2014-04-14,0.82
2014-04-15,0.84
2014-04-16,0.87
2014-04-17,0.91
2014-04-18,.
2014-04-21,0.91
2014-04-22,0.93
2014-04-23,0.91
2014-04-24,0.91
2014-04-25,0.90
2014-04-28,0.90
2014-04-29,0.91
2014-04-30,0.87
2014-05-01,0.86
2014-05-02,0.89
2014-05-05,0.90
2014-05-06,0.92
2014-05-07,0.89
2014-05-08,0.86
2014-05-09,0.86
2014-05-12,0.87
2014-05-13,0.84
2014-05-14,0.81
2014-05-15,0.80
2014-05-16,0.80
2014-05-19,0.79
2014-05-20,0.77
2014-05-21,0.79
2014-05-22,0.80
2014-05-23,0.79
2014-05-26,.
2014-05-27,0.79
2014-05-28,0.76
2014-05-29,0.77
2014-05-30,0.79
2014-06-02,0.83
2014-06-03,0.85
2014-06-04,0.85
2014-06-05,0.82
2014-06-06,0.86
2014-06-09,0.88
2014-06-10,0.93
2014-06-11,0.91
2014-06-12,0.88
2014-06-13,0.93
2014-06-16,0.95
2014-06-17,0.99
2014-06-18,0.95
2014-06-19,0.94
2014-06-20,0.94
2014-06-23,0.96
2014-06-24,0.95
2014-06-25,0.92
2014-06-26,0.90
2014-06-27,0.88
2014-06-30,0.88
2014-07-01,0.90
2014-07-02,0.95
2014-07-03,0.98
2014-07-04,.
2014-07-07,1.00
2014-07-08,0.99
2014-07-09,0.97
2014-07-10,0.93
2014-07-11,0.92
2014-07-14,0.95
2014-07-15,0.97
2014-07-16,0.98
2014-07-17,0.94
2014-07-18,0.97
2014-07-21,0.99
2014-07-22,0.97
2014-07-23,0.96
2014-07-24,1.00
2014-07-25,0.98
2014-07-28,1.01
2014-07-29,1.00
2014-07-30,1.04
2014-07-31,1.02
2014-08-01,0.94
