Date,spy_close,spy_volume,spy_direction_t,Tsec_1yr_yld,Tsec_2yr_yld,Tsec_3yr_yld,Tsec_5yr_yld,Tsec_7yr_yld,Tsec_10yr_yld,Tsec_20yr_yld,Tsec_30yr_yld,gold_close,Aaa,Baa,DXY,HSI,SSE,FCHI,FTSE,GDAXI,DJI,IXIC,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,GOOG,BRK-B
2014-09-02,200.6100006103516,72426000,-1.0,0.1,0.53,0.99,1.69,2.11,2.42,2.91,3.17,1263.699951171875,4.0,4.67,82.98999786376953,3193.529097465272,369.544349408563,5749.612606479786,11347.39086050552,12484.595352923498,17067.560546875,4598.18994140625,25.825000762939453,45.09000015258789,17.118999481201172,4.875,29.43149948120117,18.94133377075196,28.787464141845703,137.9600067138672
2014-09-03,200.5,57462000,-1.0,0.11,0.52,0.99,1.69,2.11,2.41,2.9,3.15,1268.9000244140625,3.98,4.65,82.87000274658203,3266.8784637204944,372.84379660181,5806.789281836245,11319.971796264814,12641.4839950623,17078.279296875,4572.56005859375,24.73500061035156,44.959999084472656,16.950000762939453,4.920000076293945,29.47599983215332,18.746000289916992,28.817880630493164,137.72999572753906
2014-09-04,200.2100067138672,85236000,-1.0,0.1,0.54,1.01,1.71,2.14,2.45,2.95,3.21,1265.0999755859375,4.03,4.7,83.81999969482422,3264.3362221425914,376.25581174046965,5911.283524446888,11322.555819272997,12788.348073455503,17069.580078125,4562.2900390625,24.530000686645508,45.2599983215332,17.297500610351562,5.007500171661377,29.65699958801269,19.06933212280273,29.01932716369629,137.9499969482422
2014-09-05,201.1100006103516,102177000,1.0,0.1,0.52,0.99,1.69,2.14,2.46,2.97,3.23,1265.800048828125,4.1,4.75,83.76000213623047,3256.86496216472,379.6024922279502,5802.2710001843525,11169.75168417819,12605.588290616406,17137.359375,4582.89990234375,24.74250030517578,45.90999984741211,17.319000244140625,4.992499828338623,29.888999938964844,18.49266624450684,29.223766326904297,138.07000732421875
2014-09-08,200.58999633789065,64146000,-1.0,0.1,0.54,1.02,1.72,2.16,2.48,2.97,3.23,1252.699951171875,4.08,4.74,84.2300033569336,3250.464154314541,379.4926343369297,5796.54139101645,11080.883561533992,12639.934960526414,17111.419921875,4592.2900390625,24.59000015258789,46.470001220703125,17.117000579833984,4.947500228881836,30.081499099731445,18.80733299255371,29.4052677154541,138.27999877929688
2014-09-09,199.32000732421875,88591000,-1.0,0.11,0.56,1.06,1.76,2.19,2.5,2.97,3.23,1246.800048828125,4.09,4.75,84.27999877929688,3219.00142860526,379.5004000043263,5739.587167516351,10991.292940855024,12518.143991097808,17013.869140625,4552.2900390625,24.497499465942383,46.7599983215332,16.487499237060547,4.885000228881836,29.598499298095703,18.565332412719727,28.97096061706543,136.88999938964844
2014-09-10,200.07000732421875,67251000,1.0,0.11,0.58,1.07,1.79,2.22,2.54,3.01,3.26,1243.5,4.13,4.8,84.25,3187.837910151341,378.4060711909914,5760.19842231064,11013.270648876203,12553.929300133605,17068.7109375,4586.52001953125,25.25,46.84000015258789,16.566499710083008,4.902500152587891,29.67099952697754,18.739999771118164,29.07517433166504,137.72000122070312
2014-09-11,200.3000030517578,66774400,1.0,0.11,0.58,1.07,1.79,2.22,2.54,3.02,3.27,1237.4000244140625,4.12,4.79,84.30000305175781,3182.276114838196,377.7623615930205,5736.336898247537,11015.957690522308,12518.284547336516,17049.0,4591.81005859375,25.357500076293945,47.0,16.525999069213867,4.852499961853027,29.55550003051757,18.687332153320312,28.987913131713867,137.9199981689453
2014-09-12,199.1300048828125,117409300,-1.0,0.11,0.58,1.07,1.83,2.29,2.62,3.1,3.35,1229.9000244140625,4.22,4.89,84.23999786376953,3173.659257939784,381.0375857580474,5740.262196850497,11062.716339468956,12472.70495241182,16987.509765625,4567.60009765625,25.415000915527344,46.70000076293945,16.559499740600586,4.78000020980835,29.2450008392334,18.61333274841309,28.702198028564453,137.08999633789062
2014-09-15,198.97999572753903,76401000,-1.0,0.11,0.58,1.06,1.8,2.26,2.6,3.09,3.34,1233.5999755859375,4.21,4.88,84.26000213623047,3142.772388341573,381.91910041882505,5739.540772452602,11062.301214637582,12518.959819689046,17031.140625,4518.89990234375,25.40749931335449,46.2400016784668,16.194499969482422,4.715000152587891,29.082000732421875,16.923999786376953,28.5765438079834,138.0399932861328
