Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,141.0399932861328,141.4600067138672,140.1300048828125,141.02999877929688,114.41814422607422,120226200
2012-09-05,141.08999633789062,141.47000122070312,140.6300048828125,140.91000366210938,114.32073211669922,100660300
2012-09-06,141.75999450683594,143.77999877929688,141.75,143.77000427246094,116.6411361694336,158272500
2012-09-07,144.00999450683594,144.38999938964844,143.8800048828125,144.3300018310547,117.09539031982422,107272100
2012-09-10,144.19000244140625,144.44000244140625,143.4600067138672,143.50999450683594,116.43019104003906,86458500
2012-09-11,143.60000610351562,144.3699951171875,143.55999755859375,143.91000366210938,116.75468444824219,88760000
2012-09-12,144.38999938964844,144.5500030517578,143.89999389648438,144.38999938964844,117.14413452148438,87640900
2012-09-13,144.3699951171875,147.0399932861328,143.99000549316406,146.58999633789062,118.92900848388672,225470200
2012-09-14,146.8800048828125,148.11000061035156,146.75999450683594,147.24000549316406,119.45631408691406,169777000
2012-09-17,146.94000244140625,147.19000244140625,146.3699951171875,146.74000549316406,119.05068969726562,119427800
2012-09-18,146.49000549316406,146.80999755859375,146.25,146.6199951171875,118.95328521728516,98326600
2012-09-19,146.7899932861328,147.1699981689453,146.41000366210938,146.6999969482422,119.01822662353516,128318300
2012-09-20,146.02999877929688,146.7899932861328,145.6300048828125,146.7100067138672,119.0263442993164,154009800
2012-09-21,146.63999938964844,146.6699981689453,145.80999755859375,145.8699951171875,118.97659301757812,108737500
2012-09-24,145.14999389648438,145.97999572753906,145.0399932861328,145.64999389648438,118.79712677001953,95682000
2012-09-25,145.9600067138672,146.24000549316406,144.05999755859375,144.10000610351562,117.532958984375,133165200
2012-09-26,144.07000732421875,144.11000061035156,142.9499969482422,143.2899932861328,116.87227630615234,146502200
2012-09-27,143.88999938964844,144.97000122070312,143.50999450683594,144.63999938964844,117.97331237792969,111830300
2012-09-28,144.08999633789062,144.55999755859375,143.4600067138672,143.97000122070312,117.4269027709961,150696100
2012-10-01,144.52000427246094,145.69000244140625,144.00999450683594,144.35000610351562,117.73685455322266,135911200
2012-10-02,144.9199981689453,145.14999389648438,143.8300018310547,144.5,117.85920715332031,113422200
2012-10-03,144.88999938964844,145.42999267578125,144.1300048828125,145.08999633789062,118.34041595458984,121283100
2012-10-04,145.63999938964844,146.33999633789062,145.44000244140625,146.1300048828125,119.18865203857422,124311600
2012-10-05,146.91000366210938,147.16000366210938,145.6999969482422,146.13999938964844,119.19681549072266,124842100
2012-10-08,145.60000610351562,146.1199951171875,145.30999755859375,145.63999938964844,118.78901672363281,78415400
2012-10-09,145.52999877929688,145.64999389648438,144.14999389648438,144.1999969482422,117.61444854736328,148872900
2012-10-10,144.17999267578125,144.32000732421875,143.08999633789062,143.27999877929688,116.86406707763672,124247500
2012-10-11,144.27999877929688,144.49000549316406,143.3300018310547,143.36000061035156,116.92935943603516,123601500
2012-10-12,143.4600067138672,143.9499969482422,142.5800018310547,142.88999938964844,116.5459976196289,124181900
