Date,DXY
2013-08-01,82.33999633789062
2013-08-02,81.91000366210938
2013-08-05,81.87999725341797
2013-08-06,81.5999984741211
2013-08-07,81.29000091552734
2013-08-08,81.01000213623047
2013-08-09,81.12999725341797
2013-08-12,81.33000183105469
2013-08-13,81.7300033569336
2013-08-14,81.69999694824219
2013-08-15,81.12999725341797
2013-08-16,81.26000213623047
2013-08-19,81.2300033569336
2013-08-20,80.91000366210938
2013-08-21,81.31999969482422
2013-08-22,81.48999786376953
2013-08-23,81.33999633789062
2013-08-26,81.37000274658203
2013-08-27,81.16999816894531
2013-08-28,81.41999816894531
2013-08-29,81.94999694824219
2013-08-30,82.08999633789062
2013-09-03,82.36000061035156
2013-09-04,82.16999816894531
2013-09-05,82.62999725341797
2013-09-06,82.1500015258789
2013-09-09,81.79000091552734
2013-09-10,81.81999969482422
2013-09-11,81.5199966430664
2013-09-12,81.48999786376953
2013-09-13,81.44999694824219
2013-09-16,81.25
2013-09-17,81.16999816894531
2013-09-18,80.23999786376953
2013-09-19,80.36000061035156
2013-09-20,80.44000244140625
2013-09-23,80.44999694824219
2013-09-24,80.55999755859375
2013-09-25,80.33000183105469
2013-09-26,80.5199966430664
2013-09-27,80.2699966430664
2013-09-30,80.22000122070312
2013-10-01,80.0999984741211
2013-10-02,79.87999725341797
2013-10-03,79.7699966430664
2013-10-04,80.12000274658203
2013-10-07,79.94000244140625
2013-10-08,80.05999755859375
2013-10-09,80.37000274658203
2013-10-10,80.41999816894531
2013-10-11,80.36000061035156
2013-10-14,80.26000213623047
2013-10-15,80.4800033569336
2013-10-16,80.5
2013-10-17,79.6500015258789
2013-10-18,79.63999938964844
2013-10-21,79.68000030517578
2013-10-22,79.23999786376953
2013-10-23,79.26000213623047
2013-10-24,79.19000244140625
2013-10-25,79.18000030517578
2013-10-28,79.25
2013-10-29,79.62999725341797
2013-10-30,79.75
2013-10-31,80.19999694824219
2013-11-01,80.7300033569336
2013-11-04,80.55000305175781
2013-11-05,80.70999908447266
2013-11-06,80.4800033569336
2013-11-07,80.81999969482422
2013-11-08,81.20999908447266
2013-11-11,81.08999633789062
2013-11-12,81.19000244140625
2013-11-13,80.93000030517578
2013-11-14,80.9800033569336
2013-11-15,80.83999633789062
2013-11-18,80.83000183105469
2013-11-19,80.69999694824219
2013-11-20,81.11000061035156
2013-11-21,81.05000305175781
2013-11-22,80.70999908447266
2013-11-25,80.91999816894531
2013-11-26,80.61000061035156
2013-11-27,80.73999786376953
2013-11-29,80.68000030517578
2013-12-02,80.91000366210938
2013-12-03,80.62000274658203
2013-12-04,80.62999725341797
2013-12-05,80.2699966430664
2013-12-06,80.2699966430664
2013-12-09,80.12999725341797
2013-12-10,79.97000122070312
2013-12-11,79.88999938964844
2013-12-12,80.19999694824219
2013-12-13,80.20999908447266
2013-12-16,80.06999969482422
2013-12-17,80.05999755859375
2013-12-18,80.11000061035156
2013-12-19,80.62999725341797
2013-12-20,80.58000183105469
2013-12-23,80.44999694824219
2013-12-24,80.52999877929688
2013-12-26,80.4800033569336
2013-12-27,80.38999938964844
2013-12-30,80.0
2013-12-31,80.04000091552734
2014-01-02,80.62999725341797
2014-01-03,80.79000091552734
2014-01-06,80.6500015258789
2014-01-07,80.83000183105469
2014-01-08,81.04000091552734
2014-01-09,81.01000213623047
2014-01-10,80.66000366210938
2014-01-13,80.51000213623047
2014-01-14,80.61000061035156
2014-01-15,81.0
2014-01-16,80.9000015258789
2014-01-17,81.26000213623047
2014-01-21,81.0999984741211
2014-01-22,81.16999816894531
2014-01-23,80.44000244140625
2014-01-24,80.45999908447266
2014-01-27,80.5
2014-01-28,80.56999969482422
2014-01-29,80.51000213623047
2014-01-30,81.08999633789062
2014-01-31,81.2699966430664
2014-02-03,81.01000213623047
2014-02-04,81.12000274658203
2014-02-05,81.02999877929688
2014-02-06,80.88999938964844
2014-02-07,80.69000244140625
2014-02-10,80.66999816894531
2014-02-11,80.62999725341797
2014-02-12,80.68000030517578
2014-02-13,80.29000091552734
2014-02-14,80.12999725341797
2014-02-18,80.01000213623047
2014-02-19,80.16999816894531
2014-02-20,80.29000091552734
2014-02-21,80.23999786376953
2014-02-24,80.20999908447266
2014-02-25,80.1500015258789
2014-02-26,80.41000366210938
2014-02-27,80.29000091552734
2014-02-28,79.77999877929688
2014-03-03,80.06999969482422
2014-03-04,80.16000366210938
2014-03-05,80.11000061035156
2014-03-06,79.68000030517578
2014-03-07,79.72000122070312
2014-03-10,79.75
2014-03-11,79.7699966430664
2014-03-12,79.61000061035156
2014-03-13,79.62000274658203
2014-03-14,79.44000244140625
2014-03-17,79.38999938964844
2014-03-18,79.41000366210938
2014-03-19,79.98999786376953
2014-03-20,80.20999908447266
2014-03-21,80.11000061035156
2014-03-24,79.93000030517578
2014-03-25,79.94000244140625
2014-03-26,79.9800033569336
2014-03-27,80.11000061035156
2014-03-28,80.18000030517578
2014-03-31,80.0999984741211
2014-04-01,80.08000183105469
2014-04-02,80.22000122070312
2014-04-03,80.47000122070312
2014-04-04,80.41999816894531
2014-04-07,80.22000122070312
2014-04-08,79.75
2014-04-09,79.4800033569336
2014-04-10,79.37999725341797
2014-04-11,79.44999694824219
2014-04-14,79.7300033569336
2014-04-15,79.80000305175781
2014-04-16,79.81999969482422
2014-04-17,79.83000183105469
2014-04-21,79.94999694824219
2014-04-22,79.91000366210938
2014-04-23,79.86000061035156
2014-04-24,79.80000305175781
2014-04-25,79.7699966430664
2014-04-28,79.68000030517578
2014-04-29,79.80999755859375
2014-04-30,79.48999786376953
