Date,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,GOOG,BRK-B
2013-08-01,16.309999465942383,31.670000076293945,15.278499603271484,3.660000085830689,22.62812805175781,9.036666870117188,22.521085739135746,117.27999877929688
2013-08-02,16.519285202026367,31.88999938964844,15.21049976348877,3.690000057220459,22.68693733215332,9.199999809265137,22.57961654663086,117.81999969482422
2013-08-05,16.766071319580078,31.700000762939453,15.049500465393066,3.7074999809265137,22.647647857666016,9.645333290100098,22.540512084960938,118.2300033569336
2013-08-06,16.616071701049805,31.57999992370605,15.037500381469728,3.652499914169312,22.436687469482425,9.476667404174805,22.330549240112305,117.91000366210938
2013-08-07,16.606428146362305,32.060001373291016,14.845499992370604,3.650000095367432,22.28853988647461,8.9486665725708,22.18310165405273,116.8000030517578
2013-08-08,16.464643478393555,32.88999938964844,14.786999702453612,3.674999952316284,22.338838577270508,10.232000350952148,22.2331657409668,117.63999938964844
2013-08-09,16.230356216430664,32.70000076293945,14.86299991607666,3.622499942779541,22.282533645629883,10.199999809265137,22.177125930786133,116.70999908447266
2013-08-12,16.691429138183594,32.869998931884766,14.834500312805176,3.5924999713897705,22.159910202026367,9.825332641601562,22.055082321166992,117.12999725341795
2013-08-13,17.484643936157227,32.22999954223633,14.69849967956543,3.6050000190734863,22.053302764892575,9.695332527160645,21.9489803314209,117.27999877929688
2013-08-14,17.803571701049805,32.349998474121094,14.56700038909912,3.757499933242798,21.767017364501957,9.290666580200195,21.664047241210938,116.56999969482422
2013-08-15,17.782499313354492,31.790000915527344,14.32349967956543,3.7825000286102295,21.51301383972168,9.31133270263672,21.411245346069336,114.8000030517578
2013-08-16,17.940357208251953,31.799999237060547,14.241000175476074,3.797499895095825,21.44419479370117,9.466667175292969,21.34275245666504,115.23999786376952
2013-08-19,18.13357162475586,31.38999938964844,14.278499603271484,3.737499952316284,21.66291236877441,9.65999984741211,21.560436248779297,114.3000030517578
2013-08-20,17.895357131958008,31.6200008392334,14.354499816894531,3.737499952316284,21.65715789794922,9.972000122070312,21.55470848083496,115.01000213623048
2013-08-21,17.941429138183594,31.61000061035156,14.228500366210938,3.7200000286102295,21.7550048828125,9.857333183288574,21.6520938873291,113.9800033569336
2013-08-22,17.96285629272461,32.38999938964844,14.486499786376951,3.740000009536743,21.864614486694336,10.473333358764648,21.76118469238281,114.75
2013-08-23,17.893571853637695,34.75,14.500499725341797,3.740000009536743,21.777027130126957,10.78933334350586,21.67400932312012,114.2699966430664
2013-08-26,17.963214874267578,34.150001525878906,14.310500144958496,3.747499942779541,21.68143081665039,10.947999954223633,21.578866958618164,113.8499984741211
2013-08-27,17.449642181396484,33.2599983215332,14.046500205993652,3.700000047683716,21.2750244140625,11.133999824523926,21.17438316345215,111.54000091552734
2013-08-28,17.532142639160156,33.02000045776367,14.07900047302246,3.700000047683716,21.2349853515625,11.096667289733888,21.1345329284668,112.1999969482422
2013-08-29,17.560714721679688,33.54999923706055,14.199000358581545,3.692500114440918,21.40715789794922,11.070667266845703,21.305889129638672,111.98999786376952
2013-08-30,17.400714874267578,33.400001525878906,14.048999786376951,3.6875,21.193693161010746,11.266667366027832,21.09343719482422,111.22000122070312
2013-09-03,17.44928550720215,31.8799991607666,14.4399995803833,3.690000057220459,21.531030654907227,11.262666702270508,21.42917823791504,112.08000183105467
2013-09-04,17.81035614013672,31.200000762939453,14.682000160217283,3.724999904632568,21.812562942504883,11.374667167663574,21.70937728881836,112.08000183105467
2013-09-05,17.688213348388672,31.229999542236328,14.704999923706056,3.734999895095825,22.011011123657227,11.32866668701172,21.90688705444336,112.2699966430664
2013-09-06,17.79357147216797,31.149999618530277,14.79300022125244,3.7200000286102295,22.011512756347656,11.131333351135254,21.90738677978516,111.86000061035156
2013-09-09,18.07749938964844,31.65999984741211,14.98550033569336,3.7825000286102295,22.223472595214844,10.713333129882812,22.11834526062012,112.66999816894533
2013-09-10,17.665714263916016,32.38999938964844,15.017999649047852,3.862499952316284,22.238988876342773,11.091333389282228,22.133787155151367,113.58999633789062
2013-09-11,16.703929901123047,32.7400016784668,14.982000350952148,3.927500009536743,22.42717742919922,10.90133285522461,22.32108497619629,114.27999877929688
2013-09-12,16.881786346435547,32.689998626708984,14.942999839782717,3.924999952316284,22.348848342895508,10.995332717895508,22.243127822875977,113.37999725341795
2013-09-13,16.60357093811035,33.029998779296875,14.895999908447266,3.950000047683716,22.248998641967773,11.03600025177002,22.143749237060547,113.54000091552734
2013-09-16,16.075714111328125,32.79999923706055,14.803000450134276,3.952500104904175,22.216215133666992,11.10533332824707,22.111122131347656,114.83999633789062
2013-09-17,16.261428833007812,32.93000030517578,15.208499908447266,3.964999914169312,22.174924850463867,11.08199977874756,22.07002639770508,115.38999938964844
2013-09-18,16.595714569091797,33.31999969482422,15.601499557495115,4.0,22.60560607910156,11.08133316040039,22.498668670654297,116.6999969482422
2013-09-19,16.867856979370117,33.63999938964844,15.602999687194824,3.982500076293945,22.48223114013672,11.861332893371582,22.375879287719727,117.16999816894533
2013-09-20,16.693214416503906,32.790000915527344,15.81700038909912,3.947499990463257,22.60034942626953,12.22599983215332,22.493438720703125,117.9000015258789
2013-09-23,17.522857666015625,32.7400016784668,15.57450008392334,3.910000085830689,22.18468475341797,12.074000358581545,22.079740524291992,115.63999938964844
2013-09-24,17.467857360839844,32.45000076293945,15.706500053405762,3.924999952316284,22.193193435668945,12.155332565307615,22.088207244873047,115.0500030517578
