Date,HSI,SSE,FCHI,FTSE,GDAXI,DJI,IXIC
2013-08-01,2848.313797346782,331.60650269241876,5377.400689923728,10139.912983179092,11187.457001561765,15628.01953125,3675.739990234375
2013-08-02,2861.1728417313716,331.5771580822182,5345.096306732448,10051.862165193597,11107.215732040931,15658.3603515625,3689.590087890625
2013-08-05,2865.108277444378,335.0732649156997,5377.946161894302,10119.546766654414,11152.190061562462,15612.1298828125,3692.949951171875
2013-08-06,2826.428214304439,336.9748264923692,5346.180221926944,10140.027789805434,11003.368602943605,15518.740234375,3665.77001953125
2013-08-07,2783.4372711127503,334.89501883079345,5374.477589516609,9991.407222904847,10993.160132943653,15470.669921875,3654.010009765625
2013-08-08,2791.9440086038953,334.7238700318121,5422.202168186341,10119.016597785172,11097.456321227364,15498.3203125,3669.1201171875
2013-08-09,2811.723900049894,335.8044044729649,5454.454336052877,10227.910922968178,11156.720326349605,15425.509765625,3660.110107421875
2013-08-12,2871.6866546134393,343.8019191024613,5431.3685951836815,10199.35425646184,11150.72124812007,15419.6796875,3669.949951171875
2013-08-13,2906.691583799955,344.5766900103079,5440.1287269592285,10220.74167182116,11187.004632905126,15451.009765625,3684.43994140625
2013-08-14,2906.461491355876,343.6200183864711,5457.7295716088265,10177.991954789031,11193.664747970179,15337.66015625,3669.27001953125
2013-08-15,2906.4977457635105,340.7554957996762,5429.295241391549,10059.581360618467,11110.464231432767,15112.1904296875,3606.1201171875
2013-08-16,2903.8602400614745,338.95155631229136,5507.037911948224,10167.370796203613,11206.58712258318,15081.4697265625,3602.780029296875
2013-08-19,2897.121466827519,341.6219601615667,5443.564372655936,10102.656555175781,11151.484239822254,15010.740234375,3589.090087890625
2013-08-20,2833.344099369481,339.05265917460565,5372.121423402161,10099.057794034483,11067.1496410619,15002.990234375,3613.590087890625
2013-08-21,2813.5936812617,339.0182214062661,5388.659205121366,10010.49504990864,11119.862999173345,14897.5498046875,3599.7900390625
2013-08-22,2823.5808824442197,338.13001454349427,5416.059945352608,10067.932894656607,11205.254448569613,14963.740234375,3638.7099609375
2013-08-23,2819.0718517205964,336.67554541010753,5434.800439329876,10125.870228674903,11240.938636466395,15010.509765625,3657.7900390625
2013-08-26,2837.6021174361226,343.06563484533393,5444.472581484471,10075.489907740965,11291.733076077187,14946.4599609375,3657.570068359375
2013-08-27,2820.545520499348,344.21487872149004,5309.834976096812,10038.182121992111,11027.868188159657,14776.1298828125,3578.52001953125
2013-08-28,2775.1543038241493,343.8161159871669,5303.879690531292,9997.512182413484,10925.124868371582,14824.509765625,3593.35009765625
2013-08-29,2798.7100012865544,343.22253246564634,5315.77135371539,10066.612754155416,10927.377686662017,14840.9501953125,3620.300048828125
2013-08-30,2802.2072634492356,343.4059622165549,5206.85650162393,9944.17623335193,10725.546024034615,14810.3095703125,3589.8701171875
2013-09-02,2859.6551310415957,343.4729408257335,5291.256241013091,10096.99398975831,10888.746933066634,14822.134765625,3601.2401123046875
2013-09-03,2887.957626878777,347.50424786879006,5241.799390397966,10056.435317657946,10790.358435720205,14833.9599609375,3612.610107421875
2013-09-04,2878.9638266032835,348.1847805916441,5243.811763089616,10077.040849573561,10797.318408411462,14930.8701171875,3649.0400390625
2013-09-05,2913.987103489489,347.36419842288876,5289.225606763066,10204.960746889119,10870.687090873253,14937.48046875,3658.780029296875
2013-09-06,2916.7293235744,350.25006555114294,5311.876049419167,10207.190543478355,10856.327682084406,14922.5,3660.010009765625
2013-09-09,2933.61093273235,362.08430867494445,5322.806858501863,10211.399346339866,10903.380087940022,15063.1201171875,3706.179931640625
2013-09-10,2963.046887402743,366.22219904638763,5457.853032366838,10335.300394058228,11198.44645977486,15191.0595703125,3729.02001953125
2013-09-11,2957.8984265222666,366.81963533409714,5464.53224750224,10365.475400252268,11270.685816471465,15326.599609375,3725.010009765625
2013-09-12,2960.204479230742,369.25662531695696,5468.215828819899,10427.778089642525,11310.253559589386,15300.6396484375,3715.969970703125
2013-09-13,2955.403310940135,366.1128136990737,5471.846191048622,10405.385619471781,11316.620971574914,15376.0595703125,3722.179931640625
2013-09-16,2998.852184377958,365.27646559949045,5547.091843771167,10554.422469675774,11506.398885011675,15494.7802734375,3717.85009765625
2013-09-17,2989.5148557904163,357.68456834569207,5529.262961630942,10448.62594551523,11466.574917297461,15529.73046875,3745.699951171875
2013-09-18,2981.4156785667287,358.64372651174193,5570.783615984896,10431.822674001683,11535.972637523082,15676.9404296875,3783.639892578125
2013-09-19,3031.1462848640804,360.25364615808934,5687.834664373659,10688.88696496113,11757.153081186116,15636.5498046875,3789.3798828125
2013-09-20,3022.880070953382,361.8459614574312,5689.309290210251,10579.291607686144,11741.889715283643,15451.08984375,3774.72998046875
2013-09-23,3014.3680249734316,363.43827675677306,5646.721428284654,10502.930802022747,11687.473967407946,15401.3798828125,3765.2900390625
2013-09-24,2989.6517041103216,361.2389098181665,5663.620274422865,10541.723801851273,11696.273871144513,15334.58984375,3768.25
2013-09-25,2993.6783884774472,359.76941589655326,5651.9012842192315,10479.717422366142,11674.182969997637,15273.259765625,3761.10009765625
2013-09-26,2982.520076596264,352.8328954370153,5659.183009749046,10553.421542735887,11711.249567217194,15328.2998046875,3787.429931640625
2013-09-27,2993.066400427837,353.4422597131233,5646.352040792408,10444.719584891573,11681.065144093009,15258.240234375,3781.590087890625
2013-09-30,2948.1757058396456,355.92480956022325,5591.762615436455,10448.688143958805,11598.538288473152,15129.669921875,3771.47998046875
